NM_Municipio,State,Region,Prop_PSL,EP,PE,LR,MHIC,DD,Nordeste,Norte,Sul,Sudeste,Centro_Oeste,PG_2014_Esquerda,PG_2014_Direita,PG_2014_Centro,PG_2018_Esquerda,PG_2018_Direita,PG_2018_Centro,Cap_BR,latitude,longitude
Ananindeua (PA),PA,North,0.547207422111984,4.7198,0.333128522395017,96.6,651.34,2477.56,0,1,0,0,0,0,0,1,0,0,1,0,-1.36391,-48.3743
Anápolis (GO),GO,Midwest,0.797055811967131,3.34613,0.344409810736582,94.7,888.33,358.58,0,0,0,0,1,0,0,1,0,1,0,0,-16.3281,-48953
Aparecida de Goiânia (GO),GO,Midwest,0.670114831256598,4.55657,0.371634804249688,95,797.32,1580.27,0,0,0,0,1,0,0,1,0,1,0,0,-16.8198,-49.2469
Aracaju (SE),SE,Northeast,0.472437773904804,5.71149,0.151874554625851,93.7,1184.85,3140.67,1,0,0,0,0,0,0,0,0,1,0,1,-10.9091,-37.0677
Bauru (SP),SP,Southeast,0.729366539981923,3.43937,0.313066055702062,97,1290.25,515.12,0,0,0,1,0,0,0,1,0,0,1,0,-22.3246,-49.0871
Belém (PA),PA,North,0.549275836622068,13.93399,0.28545951303252,96.7,951.62,1315.27,0,1,0,0,0,0,0,1,0,0,1,1,-1.4554,-48.4898
Belford Roxo (RJ),RJ,Southeast,0.688758706333351,4.69332,0.371272361569209,95.3,539.7,6031.38,0,0,0,1,0,0,0,0,0,1,0,0,-22764,-43.3992
Belo Horizonte (MG),MG,Southeast,0.655932043073341,23.75151,0.250613118913282,97.3,1642.25,7167.02,0,0,0,1,0,1,0,0,0,1,0,1,-19.9102,-43.9266
Betim (MG),MG,Southeast,0.620317608121375,3.78089,0.35699795550783,95.1,762.68,1102.8,0,0,0,1,0,1,0,0,0,1,0,0,-19.9668,-44.2008
Blumenau (SC),SC,South,0.839504005946973,3.09011,0.256948781758578,98.3,1400.52,594.44,0,0,1,0,0,0,1,0,0,1,0,0,-26.9155,-49.0709
Brasília (DF),DF,Midwest,0.699860923167013,25.7016,0.268847853830112,96.7,1950.13,444.07,0,0,0,0,1,1,0,0,0,0,1,1,-15.7795,-47.9297
Campina Grande (PB),PB,Northeast,0.562970146398751,3.85213,0.246593443108099,89.1,723.65,648.31,1,0,0,0,0,1,0,0,1,0,0,0,-7.22196,-35.8731
Campinas (SP),SP,Southeast,0.688161200428725,10.80113,0.253503105693571,96.9,1496.67,1358.63,0,0,0,1,0,0,0,1,0,0,1,0,-22.9053,-47.0659
